PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1013,30.37,30.12,1,2.10,00:00
1038,30.87,30.37,3,0.04,00:00
1063,30.37,30.12,6,0.07,00:00
1088,30.12,29.87,8,0.01,00:00
1113,30.37,30.12,11,1.84,00:01
1138,30.12,29.87,13,0.01,00:01
1163,30.37,29.87,16,1.97,00:01
1188,30.37,30.12,18,0.01,00:01
1213,30.37,30.12,21,0.04,00:02
1237,30.12,29.87,23,1.94,00:02
1262,30.37,30.12,26,0.07,00:02
1287,30.37,29.87,28,0.07,00:02
1312,30.12,30.37,31,1.92,00:03
1337,30.37,29.87,33,0.07,00:03
1362,30.37,30.37,36,0.04,00:03
1387,30.37,30.37,38,-0.01,00:03
1412,30.37,30.12,41,0.04,00:04
1437,30.37,30.37,43,-0.01,00:04
1462,30.37,30.12,46,1.84,00:04
1487,30.12,30.12,48,0.01,00:04
1511,30.37,30.12,51,0.01,00:05
1524,30.37,30.12,52,0.01,00:05
1499,30.37,29.87,49,0.04,00:05
1474,30.12,30.12,47,0.04,00:05
1449,30.37,30.12,44,1.84,00:06
1424,30.37,30.37,42,0.07,00:06
1399,30.37,30.37,39,0.01,00:06
1374,30.37,30.12,37,0.04,00:06
1349,30.37,30.12,34,0.04,00:07
1324,30.37,30.37,32,0.04,00:07
1300,30.37,30.12,30,1.94,00:07
1275,30.37,30.12,27,0.01,00:07
1250,30.37,30.12,25,0.04,00:08
1225,30.12,29.87,22,-0.01,00:08
1200,30.37,30.37,20,1.86,00:08
1175,30.12,30.12,17,0.01,00:08
1150,30.37,30.37,15,1.70,00:09
1125,30.37,30.37,12,0.04,00:09
1100,30.37,30.12,10,0.04,00:09
1075,30.37,30.37,7,0.01,00:09
1051,30.37,30.12,5,1.89,00:10
1026,30.37,30.12,2,0.01,00:10
1001,30.37,30.37,0,-0.01,00:10
1024,30.37,30.12,2,1.78,00:10
1049,30.37,30.12,4,0.07,00:11
1074,30.12,30.12,7,0.04,00:11
1099,30.37,30.37,9,1.78,00:11
1124,30.37,30.37,12,0.04,00:11
1149,30.37,30.37,14,0.09,00:12
1174,30.37,30.37,17,0.01,00:12
1198,30.37,30.12,19,0.04,00:12
1223,30.87,30.37,22,0.01,00:12
1248,30.37,30.37,24,1.84,00:13
1273,30.12,30.37,27,0.04,00:13
1298,30.62,30.62,29,-0.01,00:13
1323,30.37,30.62,32,0.09,00:13
1348,30.62,30.37,34,0.07,00:14
1373,30.37,30.62,37,1.81,00:14
1398,30.37,30.62,39,0.07,00:14
1423,30.37,30.37,42,0.01,00:14
1448,30.12,30.62,44,1.84,00:15
1473,30.87,30.87,47,0.01,00:15
1497,30.37,30.12,49,0.01,00:15
1522,30.37,30.12,52,0.01,00:15
1513,30.62,30.62,51,0.04,00:16
1488,30.12,30.37,48,-0.04,00:16
1463,30.37,30.12,46,1.89,00:16
1438,30.37,30.37,43,0.04,00:16
1413,30.12,30.12,41,0.04,00:17
1388,30.37,30.37,38,0.04,00:17
1363,30.12,30.37,36,-0.01,00:17
1338,30.62,30.62,33,0.04,00:17
1313,30.37,30.62,31,1.47,00:18
1289,30.37,30.62,28,0.04,00:18
1264,30.37,30.37,26,0.04,00:18
1239,30.37,30.62,23,0.01,00:18
1214,29.62,30.62,21,1.86,00:19
1189,30.37,30.37,18,-0.01,00:19
1164,30.37,30.37,16,0.04,00:19
1139,30.37,30.62,13,0.01,00:19
1114,30.37,30.62,11,0.09,00:20
1090,30.37,30.37,9,0.01,00:20
1065,30.37,30.87,6,1.92,00:20
1040,30.37,30.87,4,-0.01,00:20
1015,30.37,30.87,1,-0.01,00:21
1010,30.37,30.62,1,1.81,00:21
1035,30.37,30.62,3,0.01,00:21
1060,30.37,30.62,6,-0.01,00:21
1085,30.62,30.87,8,1.97,00:22
1110,30.37,30.87,11,0.01,00:22
1134,30.37,30.87,13,0.04,00:22
1159,30.37,30.87,15,0.04,00:22
1184,30.37,30.62,18,0.01,00:23
1209,30.37,30.87,20,0.01,00:23
1234,30.62,30.87,23,1.86,00:23
1259,30.37,30.87,25,-0.07,00:23
1284,30.37,31.12,28,0.07,00:24
1309,30.37,30.87,30,-0.01,00:24
1334,30.12,30.62,33,1.76,00:24
1359,30.62,31.12,35,-0.01,00:24
1384,30.37,30.62,38,1.86,00:25
1408,30.37,30.62,40,0.07,00:25
1433,30.62,31.12,43,0.04,00:25
1458,30.37,30.87,45,0.04,00:25
1483,30.62,31.12,48,0.01,00:26
1508,30.37,30.87,50,0.01,00:26
1527,30.37,31.12,52,1.76,00:26
1502,30.37,30.87,50,-0.01,00:26
1477,30.62,31.12,47,0.04,00:27
1452,30.37,31.12,45,-0.01,00:27
1427,30.37,31.12,42,0.01,00:27
1403,30.12,30.87,40,-0.04,00:27
1378,30.37,31.12,37,0.01,00:28
1353,30.37,31.12,35,-0.04,00:28
1328,30.37,31.12,32,0.04,00:28
1303,30.62,31.12,30,0.01,00:28
1278,30.37,31.12,27,0.09,00:29
1253,30.37,31.12,25,0.07,00:29
1228,30.37,30.87,22,1.97,00:29
1203,30.62,31.12,20,0.09,00:29
1178,30.37,31.12,17,-0.01,00:30
1153,30.12,31.12,15,1.86,00:30
1129,30.12,31.12,12,0.07,00:30
1104,30.37,30.87,10,0.01,00:30
1079,30.12,30.87,7,0.07,00:31
1054,30.37,31.37,5,0.04,00:31
1029,30.37,31.12,2,0.01,00:31
1004,30.87,31.62,0,0.01,00:31
1021,30.37,31.12,2,0.04,00:32
1046,30.12,31.12,4,0.01,00:32
