PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1054,29.87,29.87,5,0.73,00:00
1079,29.62,29.62,7,3.03,00:00
1104,29.37,30.87,10,0.70,00:00
1129,29.62,31.37,12,2.36,00:00
1154,29.37,29.87,15,3.29,00:01
1179,29.87,30.12,17,2.76,00:01
1204,29.62,30.87,20,0.78,00:01
1229,29.37,29.37,22,1.84,00:01
1254,29.62,31.87,25,2.97,00:02
1279,29.37,32.62,27,1.15,00:02
1303,29.87,30.37,30,1.44,00:02
1328,29.87,30.37,32,2.42,00:02
1353,29.37,30.62,35,1.89,00:03
1378,29.62,31.37,37,1.15,00:03
1403,29.62,30.37,40,1.81,00:03
1428,29.62,29.87,42,3.32,00:03
1453,29.62,30.37,45,1.10,00:04
1478,29.37,31.62,47,0.73,00:04
1503,29.62,28.36,50,0.20,00:04
1528,29.62,29.37,52,2.60,00:04
1552,29.37,30.62,55,1.78,00:05
1547,29.37,29.37,54,0.15,00:05
1522,29.11,30.37,52,0.89,00:05
1497,29.37,30.87,49,0.83,00:05
1472,29.62,31.12,47,0.30,00:06
1447,29.87,30.62,44,0.33,00:06
1422,29.62,29.87,42,0.30,00:06
1397,30.37,31.37,39,0.49,00:06
1372,29.62,28.61,37,1.20,00:07
1347,29.62,29.37,34,1.44,00:07
1322,29.62,30.12,32,0.38,00:07
1298,29.87,30.12,29,0.38,00:07
1273,29.62,30.37,27,0.49,00:08
1248,29.62,31.37,24,0.25,00:08
1223,29.87,30.37,22,0.41,00:08
1198,29.62,30.87,19,0.41,00:08
1173,29.87,30.37,17,0.54,00:09
1148,29.87,30.12,14,1.65,00:09
1123,29.62,30.62,12,1.68,00:09
1098,29.87,30.37,9,0.38,00:09
1073,29.62,30.62,7,0.46,00:10
1051,29.62,31.12,5,0.44,00:10
1076,29.87,30.37,7,1.23,00:10
1101,29.87,30.62,10,3.29,00:10
1126,29.87,31.12,12,1.49,00:11
1151,29.62,30.87,15,1.49,00:11
1176,29.62,29.87,17,2.81,00:11
1201,29.62,30.37,20,0.73,00:11
1226,29.62,31.12,22,1.12,00:12
1251,29.87,31.12,25,1.81,00:12
1276,29.62,30.62,27,3.32,00:12
1301,29.62,30.87,30,0.75,00:12
1325,29.62,31.62,32,1.07,00:13
1350,29.62,31.62,35,1.15,00:13
1375,29.37,30.62,37,3.03,00:13
1400,29.62,31.12,40,1.25,00:13
1425,29.62,31.37,42,0.73,00:14
1450,29.62,30.37,45,1.41,00:14
1475,29.62,30.37,47,2.13,00:14
1500,29.37,31.12,50,0.83,00:14
1525,29.87,31.37,52,0.65,00:15
1550,29.87,31.62,55,3.03,00:15
1550,29.62,31.12,55,0.46,00:15
1525,29.62,31.37,52,0.22,00:15
1500,29.62,31.37,50,-0.07,00:16
1475,29.62,30.62,47,0.49,00:16
1450,29.62,30.62,45,0.54,00:16
1425,29.37,30.62,42,1.20,00:16
1400,29.87,31.37,40,0.07,00:17
1375,29.87,30.87,37,0.89,00:17
1350,29.62,31.37,35,0.41,00:17
1325,29.62,30.87,32,-0.04,00:17
1301,29.62,31.87,30,0.41,00:18
1276,29.87,31.12,27,0.38,00:18
1251,29.87,30.87,25,0.62,00:18
1226,29.37,31.12,22,1.36,00:18
1201,29.62,30.87,20,1.73,00:19
1176,29.87,31.62,17,0.99,00:19
1151,29.87,31.12,15,0.22,00:19
1126,29.62,31.87,12,0.33,00:19
1101,29.37,30.87,10,0.28,00:20
1076,29.87,31.87,7,0.33,00:20
1051,29.62,31.37,5,1.28,00:20
1073,29.62,30.87,7,2.97,00:20
1098,29.62,31.37,9,0.89,00:21
1123,29.87,31.62,12,1.57,00:21
1148,29.37,30.37,14,2.95,00:21
1173,29.62,31.37,17,2.42,00:21
1198,29.62,31.87,19,1.55,00:22
1223,29.62,30.62,22,2.68,00:22
1248,29.62,30.87,24,-0.04,00:22
1273,29.62,31.62,27,1.02,00:22
1298,29.87,31.37,29,0.78,00:23
1323,29.37,30.12,32,0.07,00:23
1347,29.62,31.62,34,2.50,00:23
1372,29.37,32.12,37,0.94,00:23
1397,29.87,32.37,39,1.07,00:24
1422,29.87,31.87,42,2.66,00:24
1447,29.37,31.62,44,2.89,00:24
1472,29.87,31.62,47,0.81,00:24
1497,29.62,31.37,49,1.28,00:25
1522,29.62,31.12,52,2.84,00:25
1547,29.62,30.87,54,2.42,00:25
1552,29.62,31.62,55,0.59,00:25
1528,29.62,31.62,52,0.33,00:26
1503,29.62,30.87,50,1.15,00:26
1478,29.62,31.12,47,0.96,00:26
1453,29.62,32.12,45,0.67,00:26
1428,29.62,32.12,42,0.15,00:27
1403,29.87,32.37,40,0.46,00:27
1378,29.62,31.12,37,0.46,00:27
1353,30.12,31.37,35,0.36,00:27
1328,29.37,31.62,32,0.38,00:28
1304,29.62,31.62,30,0.38,00:28
1279,29.62,31.87,27,1.73,00:28
1254,29.62,30.87,25,0.01,00:28
1229,29.11,33.13,22,1.36,00:29
1204,29.87,32.87,20,0.62,00:29
1179,29.62,31.87,17,0.41,00:29
1154,29.62,31.62,15,0.36,00:29
1129,29.87,32.37,12,0.44,00:30
1104,29.87,31.37,10,0.07,00:30
1079,29.37,31.37,7,1.49,00:30
1054,29.37,31.12,5,1.20,00:30
1071,29.87,32.62,7,1.31,00:31
1095,29.62,31.12,9,0.81,00:31
1120,29.87,30.62,12,2.92,00:31
1145,29.87,32.37,14,1.18,00:31
1170,29.62,31.12,17,0.94,00:32
1195,29.37,32.12,19,2.18,00:32
1220,29.37,31.87,22,2.76,00:32
1245,29.87,31.87,24,2.07,00:32
1270,29.62,31.12,27,1.36,00:33
1295,29.62,32.87,29,3.13,00:33
1320,29.62,31.62,32,2.63,00:33
1345,29.62,32.37,34,1.02,00:33
1369,29.37,33.38,36,-0.04,00:34
1394,29.11,32.62,39,2.95,00:34
1419,29.62,31.12,41,3.00,00:34
1444,29.87,32.62,44,0.89,00:34
1469,29.62,31.87,46,0.70,00:35
1494,29.62,30.62,49,1.89,00:35
1519,29.62,33.13,51,2.50,00:35
1544,29.62,32.12,54,1.18,00:35
1555,29.62,31.37,55,1.39,00:36
1531,29.62,31.37,53,0.38,00:36
1506,29.62,31.62,50,0.91,00:36
1481,29.62,32.12,48,0.65,00:36
1456,29.62,31.87,45,0.41,00:37
1431,29.62,32.12,43,0.38,00:37
1406,29.62,32.62,40,0.38,00:37
1381,29.62,31.87,38,0.33,00:37
1356,29.62,32.37,35,0.41,00:38
1331,29.62,31.62,33,0.89,00:38
1306,29.62,32.12,30,0.52,00:38
1281,29.62,32.37,28,0.52,00:38
1257,29.62,32.37,25,1.31,00:39
1232,29.62,31.87,23,0.41,00:39
1207,29.62,32.62,20,0.67,00:39
1182,29.62,32.12,18,0.33,00:39
1157,29.62,32.12,15,0.41,00:40
1132,29.62,32.37,13,0.28,00:40
1107,29.62,32.37,10,0.41,00:40
1082,29.87,32.12,8,1.57,00:40
1057,29.62,32.12,5,1.52,00:41
1068,29.87,32.37,6,0.91,00:41
1092,29.62,32.12,9,2.97,00:41
1117,29.62,32.87,11,2.29,00:41
1142,29.62,32.87,14,1.12,00:42
1167,29.87,31.87,16,2.26,00:42
1192,29.11,31.87,19,2.95,00:42
1217,29.62,32.12,21,0.15,00:42
1242,29.87,32.87,24,1.12,00:43
1267,29.87,33.38,26,1.23,00:43
1292,29.62,32.37,29,2.07,00:43
1317,29.62,32.37,31,1.52,00:43
1342,29.62,32.37,34,1.41,00:44
1367,29.87,32.37,36,2.26,00:44
1391,29.62,31.87,39,3.08,00:44
1416,29.62,32.37,41,2.10,00:44
1441,29.87,32.87,44,0.99,00:45
1466,29.87,32.87,46,1.60,00:45
1491,29.37,32.12,49,2.44,00:45
1516,29.62,32.12,51,0.49,00:45
1541,29.62,32.62,54,0.73,00:46
1558,29.62,32.12,55,1.44,00:46
1533,29.62,32.37,53,0.36,00:46
1509,29.87,31.87,50,0.62,00:46
1484,29.62,32.62,48,1.07,00:47
1459,29.87,32.62,45,0.62,00:47
1434,29.62,32.62,43,0.73,00:47
1409,29.62,32.87,40,0.44,00:47
1384,29.62,33.13,38,0.33,00:48
1359,29.62,32.87,35,0.46,00:48
1334,29.87,32.62,33,0.52,00:48
1309,29.87,32.87,30,0.33,00:48
1284,29.62,32.62,28,1.55,00:49
1260,29.62,32.62,26,1.39,00:49
1235,29.62,32.62,23,1.44,00:49
1210,29.62,33.13,21,0.38,00:49
1185,29.87,33.13,18,0.36,00:50
1160,29.62,33.13,16,0.30,00:50
1135,29.87,32.62,13,0.38,00:50
1110,29.87,33.13,11,0.36,00:50
1085,29.87,32.12,8,0.59,00:51
1060,29.62,32.62,6,1.49,00:51
1065,29.87,33.13,6,0.86,00:51
1090,29.62,32.62,9,2.79,00:51
1114,29.62,32.62,11,3.58,00:52
1139,29.62,33.13,13,0.96,00:52
1164,29.87,32.62,16,1.89,00:52
1189,29.37,32.37,18,2.31,00:52
1214,29.62,33.38,21,2.21,00:53
1239,30.12,33.13,23,1.76,00:53
1264,29.37,32.87,26,1.68,00:53
1289,29.37,32.87,28,2.44,00:53
1314,29.37,32.87,31,2.97,00:54
1339,29.62,33.63,33,1.62,00:54
1364,29.87,32.87,36,2.29,00:54
1388,29.62,32.37,38,2.73,00:54
1413,29.62,32.37,41,3.03,00:55
1438,29.87,32.87,43,1.18,00:55
1463,29.87,33.38,46,1.39,00:55
1488,29.87,32.62,48,0.99,00:55
1513,29.37,33.38,51,1.76,00:56
1538,29.87,33.38,53,0.67,00:56
1561,29.87,33.13,56,-0.01,00:56
1536,29.62,33.38,53,0.28,00:56
1511,29.87,32.62,51,0.36,00:57
1486,29.87,33.88,48,0.54,00:57
1462,29.62,33.38,46,1.39,00:57
1437,29.62,32.87,43,1.49,00:57
1412,29.62,33.38,41,0.41,00:58
1387,29.62,33.13,38,0.28,00:58
1362,29.87,33.38,36,0.38,00:58
1337,29.62,33.13,33,0.30,00:58
1312,29.62,33.13,31,0.04,00:59
1287,30.12,33.38,28,0.49,00:59
1262,29.37,32.87,26,1.18,00:59
1237,29.62,33.88,23,1.02,00:59
1213,29.62,32.87,21,1.55,01:00
1188,29.87,33.63,18,0.52,01:00
1163,29.87,33.88,16,0.91,01:00
1138,29.87,33.88,13,0.38,01:00
1113,30.12,34.38,11,0.38,01:01
1088,29.87,34.38,8,0.38,01:01
1063,29.87,33.13,6,0.46,01:01
1062,29.87,33.63,6,0.89,01:01
1087,29.87,33.38,8,1.33,01:02
1112,29.87,33.88,11,3.29,01:02
1136,29.62,33.63,13,2.44,01:02
