PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1000,29.37,31.87,0,-0.04,00:00
1000,29.37,31.87,0,-0.07,00:00
1000,29.37,31.62,0,0.04,00:00
1000,29.11,32.12,0,1.73,00:00
1000,29.37,32.12,0,1.70,00:01
1000,28.86,31.87,0,0.04,00:01
1000,29.37,31.87,0,0.07,00:01
1000,29.11,31.62,0,1.81,00:01
1000,29.11,31.87,0,0.07,00:02
1000,29.37,31.87,0,0.01,00:02
1000,28.86,31.62,0,1.73,00:02
1000,29.11,31.62,0,0.07,00:02
1000,29.62,31.87,0,-0.01,00:03
1000,29.11,32.12,0,1.81,00:03
1000,29.11,31.62,0,0.07,00:03
1000,29.37,31.87,0,-0.01,00:03
1000,29.11,31.87,0,0.01,00:04
1000,29.37,31.87,0,0.04,00:04
1000,29.11,31.87,0,0.04,00:04
1000,29.11,31.62,0,1.81,00:04
1000,29.11,31.87,0,0.09,00:05
1000,29.11,31.87,0,-0.04,00:05
1000,29.37,31.87,0,0.04,00:05
1000,28.86,31.37,0,1.73,00:05
1000,29.11,31.87,0,-0.01,00:06
1000,29.11,31.87,0,1.81,00:06
1000,29.11,31.62,0,0.07,00:06
1000,29.11,31.87,0,0.07,00:06
1000,29.37,31.87,0,0.04,00:07
1000,29.37,31.87,0,1.73,00:07
1000,29.37,32.12,0,0.01,00:07
1000,29.11,31.87,0,1.78,00:07
1000,29.37,32.12,0,0.01,00:08
1000,29.11,31.62,0,0.01,00:08
1000,29.37,32.12,0,0.09,00:08
1000,29.11,32.12,0,1.76,00:08
1000,29.11,31.62,0,0.07,00:09
1000,29.37,31.87,0,0.01,00:09
1000,29.11,31.62,0,0.04,00:09
1000,29.37,32.12,0,0.01,00:09
1000,29.37,32.37,0,-0.01,00:10
1000,29.11,31.87,0,1.81,00:10
1000,29.37,32.12,0,-0.04,00:10
1000,29.11,31.87,0,-0.04,00:10
1000,29.11,31.87,0,1.65,00:11
1000,29.11,32.12,0,0.01,00:11
1000,29.37,32.12,0,0.07,00:11
1000,29.37,32.12,0,1.73,00:11
1000,29.37,31.87,0,0.01,00:12
1000,29.37,32.12,0,0.01,00:12
1000,29.11,32.12,0,1.25,00:12
1000,29.37,32.37,0,1.62,00:12
1000,29.37,32.37,0,0.04,00:13
1000,29.11,32.12,0,1.73,00:13
1000,29.11,32.12,0,0.07,00:13
1000,29.62,32.37,0,0.04,00:13
1000,29.11,32.12,0,0.04,00:14
1000,29.11,32.12,0,1.68,00:14
1000,29.37,32.12,0,0.07,00:14
1000,29.37,32.62,0,1.78,00:14
1000,29.11,32.12,0,0.04,00:15
1000,29.37,32.37,0,1.39,00:15
1000,29.11,32.37,0,1.68,00:15
1000,29.62,32.37,0,0.01,00:15
1000,29.11,32.12,0,0.01,00:16
1000,29.11,32.62,0,1.84,00:16
1000,29.11,32.12,0,0.01,00:16
1000,29.37,32.12,0,0.01,00:16
1000,29.11,32.62,0,1.62,00:17
1000,29.62,32.37,0,0.01,00:17
1000,29.11,32.37,0,-0.01,00:17
1000,29.11,32.37,0,1.70,00:17
1000,29.11,32.37,0,0.01,00:18
1000,29.37,32.37,0,0.01,00:18
1000,29.11,32.12,0,1.70,00:18
1000,29.37,32.62,0,-0.07,00:18
1000,29.37,32.62,0,0.04,00:19
1000,29.11,32.62,0,1.76,00:19
1000,29.62,32.37,0,0.07,00:19
1000,29.11,32.62,0,0.04,00:19
1000,29.37,32.37,0,0.01,00:20
1000,29.37,32.62,0,0.04,00:20
1000,29.62,32.62,0,0.09,00:20
1000,29.11,32.87,0,1.76,00:20
1000,29.37,32.62,0,0.04,00:21
1000,29.11,32.62,0,0.01,00:21
1000,29.11,32.87,0,0.04,00:21
1000,29.11,32.37,0,1.73,00:21
1000,29.11,32.62,0,0.07,00:22
1000,29.11,32.62,0,1.81,00:22
1000,29.37,32.62,0,0.04,00:22
1000,29.37,32.87,0,0.04,00:22
1000,29.11,32.62,0,-0.01,00:23
1000,29.11,32.62,0,1.70,00:23
1000,29.11,32.87,0,-0.04,00:23
1000,29.11,32.62,0,1.97,00:23
1000,29.37,32.87,0,1.60,00:24
1000,29.11,32.62,0,0.01,00:24
1000,29.11,32.87,0,0.01,00:24
1000,29.11,33.13,0,1.70,00:24
1000,29.37,32.87,0,-0.04,00:25
1000,29.11,32.37,0,0.09,00:25
1000,29.37,33.38,0,1.68,00:25
1000,29.37,32.62,0,0.07,00:25
1000,29.37,33.13,0,0.01,00:26
1000,29.11,33.13,0,1.68,00:26
1000,29.37,32.87,0,0.07,00:26
1000,29.11,33.38,0,0.04,00:26
1000,29.11,32.87,0,0.04,00:27
1000,29.37,33.13,0,0.07,00:27
1000,29.37,33.38,0,1.65,00:27
1000,29.11,32.37,0,0.04,00:27
1000,29.62,33.88,0,0.04,00:28
1000,28.86,33.88,0,0.04,00:28
1000,29.11,32.37,0,1.68,00:28
1000,28.86,33.38,0,0.01,00:28
1000,29.62,32.12,0,0.09,00:29
1000,29.37,33.13,0,0.04,00:29
1000,29.37,33.13,0,0.01,00:29
1000,29.11,33.13,0,-0.04,00:29
1000,29.11,33.63,0,1.65,00:30
1000,29.37,32.87,0,0.07,00:30
1000,29.37,32.87,0,0.15,00:30
1000,29.11,33.38,0,1.78,00:30
1000,29.11,33.38,0,0.07,00:31
1000,29.11,33.63,0,0.04,00:31
1000,29.11,33.13,0,1.65,00:31
1000,29.37,33.13,0,0.01,00:31
1000,29.11,33.38,0,0.07,00:32
1000,29.37,33.38,0,1.73,00:32
1000,29.37,33.63,0,0.04,00:32
1000,29.37,33.38,0,-0.09,00:32
1000,29.11,33.13,0,1.70,00:33
1000,29.37,33.63,0,-0.01,00:33
1000,29.37,33.38,0,0.01,00:33
1000,29.11,33.13,0,1.76,00:33
1000,29.62,33.63,0,0.04,00:34
1000,29.11,32.87,0,0.07,00:34
1000,29.11,33.38,0,1.73,00:34
1000,29.37,33.63,0,0.09,00:34
1000,29.37,33.63,0,0.04,00:35
1000,29.11,33.63,0,1.89,00:35
1000,29.11,33.88,0,1.55,00:35
1000,29.11,33.63,0,0.07,00:35
1000,29.37,33.63,0,-0.04,00:36
1000,29.11,33.38,0,0.04,00:36
1000,29.37,33.63,0,0.07,00:36
1000,29.11,33.88,0,1.68,00:36
1000,29.37,33.63,0,1.65,00:37
1000,29.11,33.88,0,0.01,00:37
1000,29.11,33.63,0,0.07,00:37
1000,28.86,33.88,0,1.70,00:37
1000,29.11,33.88,0,0.01,00:38
1000,29.11,33.63,0,1.55,00:38
1000,28.86,34.13,0,1.60,00:38
1000,29.37,33.88,0,-0.04,00:38
1000,29.11,33.63,0,-0.04,00:39
1000,29.11,34.13,0,1.76,00:39
1000,29.11,33.88,0,0.01,00:39
1000,29.37,34.13,0,0.07,00:39
1000,29.11,33.88,0,1.68,00:40
1000,29.37,34.13,0,-0.01,00:40
1000,29.37,33.88,0,-0.01,00:40
1000,29.11,33.88,0,1.81,00:40
1000,29.11,34.13,0,0.04,00:41
1000,29.11,34.13,0,0.09,00:41
1000,29.11,33.88,0,1.68,00:41
1000,29.37,34.13,0,-0.01,00:41
1000,29.11,34.38,0,1.73,00:42
1000,29.37,34.13,0,0.04,00:42
1000,29.37,34.38,0,-0.04,00:42
1000,29.11,34.13,0,0.07,00:42
1000,28.86,34.13,0,1.60,00:43
1000,29.37,34.13,0,0.07,00:43
1000,29.11,34.88,0,1.73,00:43
1000,29.37,33.88,0,-0.01,00:43
1000,29.11,33.63,0,0.07,00:44
1000,29.37,34.38,0,0.01,00:44
1000,29.11,34.13,0,1.68,00:44
1000,28.86,34.38,0,0.04,00:44
1000,28.86,34.38,0,0.09,00:45
1000,29.37,35.13,0,0.04,00:45
1000,29.37,34.63,0,0.07,00:45
1000,29.11,34.38,0,-0.01,00:45
1000,29.11,34.13,0,1.73,00:46
1000,29.37,34.38,0,0.01,00:46
1000,29.37,34.38,0,0.04,00:46
1000,29.11,34.63,0,1.84,00:46
1000,29.11,34.38,0,0.04,00:47
1000,29.37,34.88,0,0.01,00:47
1000,29.37,34.63,0,1.65,00:47
1000,29.37,34.63,0,0.07,00:47
1000,29.11,34.63,0,0.01,00:48
1000,29.37,34.88,0,1.65,00:48
1000,29.62,34.63,0,1.60,00:48
1000,29.11,34.88,0,0.01,00:48
1000,29.62,34.88,0,1.73,00:49
1000,29.62,35.38,0,0.07,00:49
1000,29.11,34.88,0,-0.04,00:49
1000,29.11,34.88,0,1.49,00:49
1000,29.87,34.88,0,1.62,00:50
1000,29.62,34.88,0,0.01,00:50
1000,28.86,34.63,0,1.73,00:50
1000,29.37,34.63,0,-0.07,00:50
1000,29.37,34.63,0,0.04,00:51
1000,29.11,34.88,0,0.12,00:51
1000,29.11,34.88,0,1.57,00:51
1000,29.37,35.38,0,-0.01,00:51
1000,29.37,34.88,0,0.04,00:52
1000,29.37,34.88,0,0.01,00:52
1000,29.37,35.38,0,-0.04,00:52
1000,29.11,35.13,0,0.01,00:52
1000,29.11,34.63,0,1.65,00:53
1000,29.62,35.38,0,0.04,00:53
1000,29.11,35.13,0,0.04,00:53
1000,29.11,34.88,0,1.76,00:53
1000,29.11,34.88,0,0.01,00:54
1000,29.37,35.38,0,1.68,00:54
1000,29.37,35.13,0,0.07,00:54
1000,29.62,35.13,0,0.09,00:54
1000,28.86,35.63,0,1.73,00:55
1000,29.11,35.38,0,0.04,00:55
1000,29.37,35.38,0,0.07,00:55
1000,29.37,35.38,0,0.01,00:55
1000,29.37,35.63,0,0.07,00:56
1000,29.37,35.38,0,0.01,00:56
1000,29.11,35.13,0,1.70,00:56
1000,29.11,35.38,0,0.01,00:56
1000,29.11,35.38,0,0.01,00:57
1000,29.11,35.38,0,0.04,00:57
1000,29.11,35.63,0,1.62,00:57
1000,29.37,35.63,0,-0.01,00:57
1000,29.11,35.38,0,1.73,00:58
1000,29.37,35.63,0,-0.01,00:58
1000,29.11,35.63,0,-0.01,00:58
1000,29.11,35.63,0,0.01,00:58
1000,29.11,35.63,0,1.68,00:59
1000,29.37,35.63,0,0.04,00:59
1000,29.37,35.88,0,1.76,00:59
1000,29.37,35.63,0,-0.01,00:59
1000,29.11,35.38,0,0.04,01:00
1000,29.37,35.88,0,-0.04,01:00
1000,29.11,35.63,0,1.68,01:00
1000,29.37,35.63,0,0.01,01:00
1000,29.37,35.88,0,0.07,01:01
1000,29.11,35.38,0,1.57,01:01
1000,29.37,35.63,0,0.01,01:01
1000,29.37,35.88,0,-0.01,01:01
1000,29.11,35.63,0,1.70,01:02
1000,29.11,36.13,0,0.04,01:02
1000,29.11,36.13,0,-0.01,01:02
1000,29.11,35.88,0,0.04,01:02
1000,29.37,36.13,0,0.09,01:03
1000,28.61,35.63,0,-0.01,01:03
1000,29.11,35.63,0,1.68,01:03
1000,29.11,36.13,0,0.01,01:03
1000,29.11,35.63,0,0.01,01:04
1000,29.11,35.88,0,0.04,01:04
1000,29.11,36.38,0,1.65,01:04
1000,29.11,35.88,0,0.09,01:04
1000,28.86,35.88,0,1.76,01:05
1000,29.11,36.13,0,0.01,01:05
1000,29.37,36.13,0,0.01,01:05
1000,29.11,36.13,0,0.01,01:05
1000,29.37,36.38,0,1.65,01:06
1000,29.37,36.13,0,0.04,01:06
1000,29.11,36.13,0,1.70,01:06
1000,29.62,36.63,0,0.01,01:06
1000,29.11,35.88,0,0.04,01:07
1000,29.11,35.88,0,0.04,01:07
1000,29.11,36.13,0,1.68,01:07
1000,29.37,36.38,0,0.01,01:07
1000,29.37,36.38,0,0.01,01:08
1000,29.11,36.13,0,0.04,01:08
