PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1059,28.86,31.62,5,1.86,00:00
1084,29.87,33.13,8,0.62,00:00
1108,29.37,30.87,10,2.31,00:00
1133,28.61,31.37,13,4.35,00:00
1158,29.37,30.12,15,1.89,00:01
1183,28.86,32.12,18,1.41,00:01
1208,29.11,32.62,20,0.70,00:01
1233,28.86,31.37,23,1.99,00:01
1258,28.61,30.62,25,4.03,00:02
1283,28.61,32.12,28,2.29,00:02
1308,29.11,31.87,30,0.70,00:02
1333,29.11,32.37,33,1.73,00:02
1358,29.11,31.12,35,0.33,00:03
1382,28.86,31.37,38,4.43,00:03
1407,28.86,31.62,40,2.31,00:03
1432,29.11,32.62,43,1.39,00:03
1457,29.11,30.87,45,1.81,00:04
1482,28.61,31.12,48,2.95,00:04
1507,28.86,31.87,50,1.49,00:04
1532,28.86,31.87,53,1.84,00:04
1557,29.11,32.62,55,1.20,00:05
1542,28.61,32.37,54,0.41,00:05
1517,29.11,33.13,51,0.20,00:05
1492,29.11,32.12,49,0.17,00:05
1468,28.61,31.62,46,0.01,00:06
1443,28.61,30.62,44,0.22,00:06
1418,29.11,31.62,41,0.33,00:06
1393,28.86,31.12,39,0.01,00:06
1368,28.86,31.12,36,0.46,00:07
1343,28.61,31.62,34,0.59,00:07
1318,29.11,32.37,31,0.38,00:07
1293,28.86,32.62,29,0.22,00:07
1268,28.86,32.12,26,1.10,00:08
1244,28.61,31.62,24,0.83,00:08
1219,28.86,31.87,21,0.15,00:08
1194,29.11,31.62,19,0.44,00:08
1169,29.11,31.62,16,0.15,00:09
1144,28.86,31.62,14,0.36,00:09
1119,29.11,31.87,11,0.33,00:09
1094,29.11,31.62,9,0.33,00:09
1069,28.86,31.87,6,0.17,00:10
1056,28.86,32.37,5,0.46,00:10
1081,28.61,31.37,8,2.42,00:10
1106,28.86,32.12,10,1.31,00:10
1130,29.11,32.37,13,1.28,00:11
1155,28.61,32.37,15,1.57,00:11
1180,28.86,30.87,18,3.29,00:11
1205,28.86,31.87,20,2.13,00:11
1230,28.86,32.12,23,1.44,00:12
1255,29.11,32.37,25,0.09,00:12
1280,28.86,31.87,28,2.29,00:12
1305,28.86,31.37,30,3.98,00:12
1330,28.86,31.62,33,2.60,00:13
1354,28.86,31.87,35,1.89,00:13
1379,28.61,31.37,37,2.58,00:13
1404,28.61,30.87,40,3.90,00:13
1429,28.86,32.37,42,3.87,00:14
1454,28.86,31.12,45,3.03,00:14
1479,28.86,31.87,47,0.67,00:14
1504,28.86,31.62,50,1.76,00:14
1529,28.86,31.87,52,2.76,00:15
1554,28.86,32.12,55,1.86,00:15
1546,29.11,31.62,54,0.41,00:15
1521,28.86,31.87,52,0.17,00:15
1496,28.86,31.62,49,0.38,00:16
1471,28.86,32.37,47,0.38,00:16
1446,28.86,31.62,44,0.83,00:16
1421,28.86,32.12,42,0.78,00:16
1396,28.86,31.87,39,0.89,00:17
1371,29.11,32.62,37,0.38,00:17
1346,28.86,32.12,34,0.57,00:17
1321,29.11,32.87,32,0.28,00:17
1296,29.11,32.37,29,0.38,00:18
1272,28.86,32.12,27,0.20,00:18
1247,28.86,31.87,24,-0.04,00:18
1222,29.11,32.37,22,0.30,00:18
1197,28.86,31.62,19,0.12,00:19
1172,28.86,31.62,17,0.89,00:19
1147,28.86,31.37,14,0.57,00:19
1122,28.61,32.12,12,1.02,00:19
1097,28.86,31.12,9,0.81,00:20
1072,28.86,32.12,7,0.17,00:20
1053,28.86,32.87,5,0.83,00:20
1078,29.62,32.87,7,1.31,00:20
1102,28.86,33.13,10,1.36,00:21
1127,28.86,31.37,12,2.15,00:21
1152,28.86,31.87,15,1.89,00:21
1177,28.86,32.12,17,1.68,00:21
1202,29.11,32.37,20,0.99,00:22
1227,28.61,31.37,22,3.55,00:22
1252,28.61,31.62,25,3.66,00:22
1277,28.86,31.87,27,1.49,00:22
1302,28.86,32.37,30,1.70,00:23
1327,28.86,31.87,32,2.18,00:23
1351,28.36,30.87,35,2.50,00:23
1376,28.86,31.87,37,4.56,00:23
1401,28.86,32.62,40,1.78,00:24
1426,29.11,34.13,42,0.86,00:24
1451,28.61,32.87,45,1.33,00:24
1476,29.11,33.13,47,2.60,00:24
1501,28.86,32.12,50,2.68,00:25
1526,28.86,32.12,52,1.99,00:25
1551,28.86,33.13,55,1.41,00:25
1549,28.61,32.12,54,1.39,00:25
1524,28.61,32.62,52,0.44,00:26
1499,28.86,32.62,49,0.41,00:26
1474,28.86,32.62,47,0.44,00:26
1449,28.86,32.37,44,0.25,00:26
1424,28.86,32.62,42,0.20,00:27
1399,28.86,32.87,39,0.15,00:27
1374,29.11,32.62,37,0.30,00:27
1349,28.86,32.62,34,0.41,00:27
1324,29.11,32.87,32,0.44,00:28
1299,29.11,32.37,29,0.36,00:28
1275,29.11,32.62,27,0.25,00:28
1250,28.86,32.62,25,0.25,00:28
1225,28.86,32.62,22,0.70,00:29
1200,28.86,32.37,20,0.57,00:29
1175,28.61,33.13,17,0.70,00:29
1150,29.11,32.87,15,0.94,00:29
1125,28.86,33.13,12,0.73,00:30
1100,28.86,33.13,10,0.20,00:30
1075,29.11,33.88,7,0.59,00:30
1050,28.86,33.13,5,0.22,00:30
1075,28.86,32.62,7,0.01,00:31
1099,29.11,32.37,9,3.26,00:31
1124,28.86,32.87,12,2.10,00:31
1149,28.86,32.62,14,0.67,00:31
1174,28.86,32.62,17,1.18,00:32
1199,28.86,32.12,19,3.55,00:32
1224,28.61,32.12,22,2.84,00:32
1249,28.86,32.62,24,2.68,00:32
1274,28.86,33.38,27,1.39,00:33
1299,28.86,32.87,29,2.05,00:33
1324,28.86,31.37,32,2.34,00:33
1348,28.36,32.12,34,3.32,00:33
1373,29.11,33.38,37,2.07,00:34
1398,28.86,33.38,39,1.84,00:34
1423,28.86,33.88,42,1.04,00:34
1448,28.86,32.87,44,3.26,00:34
1473,28.86,32.87,47,4.16,00:35
1498,28.86,32.87,49,2.66,00:35
1523,29.11,33.38,52,1.60,00:35
1548,29.11,32.87,54,1.84,00:35
1551,28.86,33.38,55,1.23,00:36
1527,29.11,33.38,52,0.33,00:36
1502,29.11,32.87,50,0.20,00:36
1477,28.86,33.88,47,0.30,00:36
1452,28.61,32.62,45,0.33,00:37
1427,28.86,32.62,42,0.15,00:37
1402,29.11,33.88,40,0.28,00:37
1377,28.86,33.38,37,0.09,00:37
1352,29.11,33.38,35,0.28,00:38
1327,28.86,33.38,32,0.20,00:38
1302,28.86,33.13,30,0.62,00:38
