PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1070,28.86,34.13,7,1.84,00:00
1095,28.61,34.38,9,0.01,00:00
1120,28.61,34.13,12,0.01,00:00
1145,28.36,33.63,14,1.89,00:00
1170,28.61,33.88,17,0.01,00:01
1195,28.86,34.13,19,0.07,00:01
1220,28.86,34.63,22,-0.04,00:01
1245,28.61,34.13,24,-0.01,00:01
1270,28.61,33.63,27,0.04,00:02
1295,28.86,34.38,29,1.81,00:02
1319,28.61,34.13,31,0.01,00:02
1344,28.86,34.13,34,0.07,00:02
1369,28.61,34.63,36,0.09,00:03
1394,28.86,34.63,39,0.01,00:03
1419,29.11,34.13,41,0.01,00:03
1444,28.11,34.38,44,1.92,00:03
1469,28.86,34.63,46,0.07,00:04
1494,28.86,34.38,49,0.01,00:04
1519,28.86,35.13,51,1.60,00:04
1543,28.61,33.88,54,0.07,00:04
1568,28.86,34.63,56,0.04,00:05
1567,28.86,34.38,56,0.01,00:05
1542,28.61,34.13,54,0.04,00:05
1517,28.61,34.38,51,0.04,00:05
1492,28.11,34.13,49,-0.01,00:06
1467,28.86,34.38,46,-0.04,00:06
1442,28.86,34.38,44,0.07,00:06
1417,28.86,34.38,41,1.81,00:06
1392,28.86,34.38,39,0.04,00:07
1367,28.86,34.63,36,-0.01,00:07
1343,28.61,33.88,34,0.01,00:07
1318,28.61,34.38,31,0.01,00:07
1293,28.61,34.63,29,0.07,00:08
1268,28.61,34.38,26,-0.01,00:08
1243,28.61,34.38,24,0.04,00:08
1218,28.86,34.63,21,0.04,00:08
1193,28.61,34.13,19,0.01,00:09
1168,28.61,34.38,16,1.44,00:09
1143,28.61,34.13,14,0.01,00:09
1118,28.61,34.38,11,-0.01,00:09
1093,28.61,34.13,9,0.07,00:10
1069,28.86,34.63,6,0.09,00:10
1056,28.61,34.63,5,-0.04,00:10
1081,28.86,34.63,8,1.84,00:10
1106,28.36,34.38,10,-0.01,00:11
1131,28.61,34.63,13,0.04,00:11
1156,28.86,34.38,15,0.01,00:11
1181,28.61,34.38,18,1.73,00:11
1206,28.86,35.38,20,-0.01,00:12
1231,28.86,34.38,23,0.07,00:12
1256,28.61,34.38,25,-0.01,00:12
1281,28.61,34.38,28,1.76,00:12
1305,28.86,34.63,30,0.09,00:13
1330,28.61,34.38,33,0.09,00:13
1355,28.86,34.63,35,-0.04,00:13
1380,28.61,34.38,38,1.73,00:13
1405,28.61,34.38,40,0.07,00:14
1430,28.36,34.38,43,1.86,00:14
1455,28.61,34.63,45,0.07,00:14
1480,29.37,35.13,48,0.07,00:14
