PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1022,28.36,32.37,2,0.49,00:00
1047,28.11,30.37,4,1.94,00:00
1072,28.11,31.87,7,2.13,00:00
1097,28.36,32.37,9,0.38,00:00
1122,28.36,31.37,12,0.65,00:01
1146,28.61,30.87,14,0.73,00:01
1171,28.36,31.12,17,1.41,00:01
1196,28.36,31.37,19,2.39,00:01
1221,28.36,29.62,22,1.10,00:02
1246,28.11,32.37,24,1.02,00:02
1271,28.36,32.12,27,0.57,00:02
1296,28.61,31.87,29,0.52,00:02
1321,28.61,30.62,32,2.10,00:03
1346,28.11,31.87,34,1.94,00:03
1370,28.36,31.87,37,1.31,00:03
1395,28.36,31.37,39,0.54,00:03
1420,28.61,31.62,42,0.62,00:04
1445,28.36,31.62,44,0.78,00:04
1470,28.36,31.37,47,0.04,00:04
1495,28.11,31.87,49,0.70,00:04
1504,28.11,32.87,50,0.25,00:05
1479,28.36,31.87,47,0.15,00:05
1454,28.11,31.37,45,0.15,00:05
1429,28.36,31.37,42,0.20,00:05
1404,28.36,32.12,40,0.04,00:06
1379,28.11,31.87,37,0.89,00:06
1355,28.36,31.37,35,0.22,00:06
1330,28.11,32.12,33,0.78,00:06
1305,28.11,31.37,30,0.57,00:07
1280,28.11,31.87,28,0.94,00:07
1255,28.36,31.37,25,0.78,00:07
1230,28.36,31.37,23,0.15,00:07
1205,28.36,32.12,20,0.96,00:08
1180,28.36,32.62,18,0.36,00:08
1155,28.36,32.37,15,0.30,00:08
1130,28.11,32.12,13,0.22,00:08
1106,28.36,31.87,10,0.25,00:09
1081,28.36,32.62,8,0.28,00:09
1056,28.11,31.87,5,0.30,00:09
1031,28.36,32.87,3,0.25,00:09
1006,28.11,32.37,0,0.25,00:10
1019,28.11,31.12,1,1.81,00:10
1044,28.11,32.87,4,2.02,00:10
1069,28.36,32.12,6,1.25,00:10
1094,28.11,32.62,9,0.52,00:11
1119,28.36,31.87,11,1.23,00:11
1143,28.36,31.87,14,0.75,00:11
1168,28.11,31.62,16,2.18,00:11
1193,28.36,32.87,19,1.44,00:12
1218,28.36,33.13,21,0.59,00:12
1243,28.11,31.87,24,0.62,00:12
1268,28.36,31.37,26,1.60,00:12
1293,28.61,32.37,29,2.05,00:13
1318,28.36,32.12,31,1.07,00:13
1343,28.11,32.87,34,0.59,00:13
1368,28.36,33.38,36,0.62,00:13
1392,28.36,31.87,39,1.02,00:14
1417,28.11,32.12,41,1.28,00:14
1442,28.61,32.87,44,1.92,00:14
1467,28.36,32.37,46,0.49,00:14
1492,28.36,33.63,49,0.44,00:15
1507,28.36,31.37,50,0.04,00:15
1482,28.11,31.87,48,0.44,00:15
1457,28.11,32.62,45,0.38,00:15
1432,28.36,32.37,43,0.33,00:16
1407,28.11,32.37,40,0.86,00:16
1382,28.36,32.87,38,0.54,00:16
1358,28.36,32.12,35,0.70,00:16
1333,28.36,32.37,33,0.83,00:17
1308,28.61,33.88,30,0.36,00:17
1283,28.36,32.37,28,1.10,00:17
1258,28.61,33.38,25,1.04,00:17
1233,28.86,34.13,23,0.36,00:18
1208,28.61,33.13,20,0.25,00:18
1183,28.61,32.87,18,0.04,00:18
1158,28.61,31.87,15,0.22,00:18
1133,27.86,32.87,13,0.17,00:19
1108,28.36,35.13,10,0.28,00:19
1084,28.11,31.37,8,0.28,00:19
1059,28.36,33.38,5,0.25,00:19
1034,28.11,35.13,3,0.22,00:20
1009,28.36,32.87,0,0.17,00:20
1016,28.11,32.87,1,1.86,00:20
1041,28.36,32.62,4,0.57,00:20
1066,28.36,33.13,6,0.62,00:21
1091,28.36,33.38,9,0.62,00:21
1116,28.86,32.12,11,1.55,00:21
1141,28.36,32.87,14,0.73,00:21
1165,28.11,33.63,16,1.02,00:22
1190,28.36,33.88,19,0.04,00:22
1215,28.86,32.87,21,0.86,00:22
1240,28.36,32.37,24,0.99,00:22
1265,28.11,32.12,26,1.92,00:23
1290,28.61,32.62,29,0.75,00:23
1315,28.36,33.38,31,0.57,00:23
1340,28.11,32.87,34,0.65,00:23
1365,28.11,33.13,36,0.62,00:24
1389,28.11,32.12,38,1.52,00:24
1414,28.36,32.62,41,1.02,00:24
1439,28.36,32.87,43,0.44,00:24
1464,28.36,33.38,46,0.44,00:25
1489,28.36,32.62,48,0.86,00:25
1510,28.36,32.12,51,1.73,00:25
1485,28.11,34.38,48,0.22,00:25
1460,28.61,34.63,46,0.04,00:26
1436,28.61,32.87,43,0.52,00:26
1411,28.36,33.38,41,0.83,00:26
