sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
Ace RC,C0915*,Analog,9.07,22.10,11.43,23.62,4.8,1.50,6.0,1.90,,,,,,,4.8,600.00,6.0,750.00,,,,,,,-,Single Bearing,Plastic,$30.99
Ace RC,C1016*,Analog,9.07,22.10,11.43,23.62,4.8,1.60,,,,,,,,,4.8,600.00,,,,,,,,,-,Single Bearing,Metal,$17.99
Ace RC,DS0606*,Digital,60.10,40.39,20.32,39.62,4.8,4.18,6.0,5.33,,,,,,,4.8,857.14,6.0,1000.00,,,,,,,Coreless,Dual Bearings,Plastic,$83.95
Ace RC,DS1013*,Digital,62.09,41.15,20.07,38.35,6.0,13.00,,,,,,,,,6.0,545.45,,,,,,,,,Coreless,-,Metal,$93.99
Ace RC,DS1015*,Digital,66.05,41.91,20.57,39.62,6.0,14.50,,,,,,,,,6.0,545.45,,,,,,,,,Coreless,Single Bearing,Metal,$96.99
Ace RC,DS1111*,Digital,64.64,41.15,20.07,38.35,4.8,8.50,,,,,,,,,4.8,375.00,,,,,,,,,Coreless,-,Metal,$92.99
Ace RC,DS1211*,Digital,62.09,41.15,20.07,38.35,6.0,10.79,,,,,,,,,6.0,461.54,,,,,,,,,Coreless,-,Metal,$79.99
Ace RC,DS1213*,Digital,66.05,41.91,20.57,39.62,4.8,9.58,,,,,,,,,4.8,375.00,,,,,,,,,Coreless,-,Metal,$96.99
Ace RC,DS1313*,Digital,66.05,41.91,20.57,39.62,6.0,12.50,,,,,,,,,6.0,461.54,,,,,,,,,Coreless,Single Bearing,Metal,$74.99
Ace RC,S1807MG*,Analog,48.48,40.39,20.07,37.85,4.8,6.90,,,,,,,,,4.8,333.33,,,,,,,,,-,Dual Bearings,Metal,$39.99
Ace RC,S1903*,Analog,46.49,40.39,20.07,37.85,4.8,3.00,,,,,,,,,4.8,315.79,,,,,,,,,-,Bushing,Plastic,$14.99
Ace RC,S1903MG*,Analog,50.46,40.39,20.07,37.85,4.8,3.00,,,,,,,,,4.8,315.79,,,,,,,,,-,Bushing,Hybrid,$16.99
Ace RC,S2008MG*,Analog,48.48,40.39,20.07,37.85,4.8,7.80,,,,,,,,,4.8,285.71,,,,,,,,,-,Dual Bearings,Metal,$44.99
Ace RC,WQ2811*,-,119.92,57.91,27.94,52.07,6.0,11.02,,,,,,,,,6.0,214.29,,,,,,,,,-,-,-,-
Airtronics/ Sanwa,141MG*,-,25.23,36.07,16.76,32.77,4.8,3.24,,,,,,,,,4.8,300.00,,,,,,,,,Coreless,-,Metal,$59.95
Airtronics/ Sanwa,94051Z*,Analog,22.11,34.04,13.97,34.04,4.8,1.30,6.0,1.66,,,,,,,4.8,315.79,6.0,400.00,,,,,,,3-pole,Bushing,Plastic,$29.95
Airtronics/ Sanwa,94091Z*,Analog,9.07,23.11,11.18,22.10,4.8,1.30,6.0,1.66,,,,,,,4.8,500.00,6.0,600.00,,,,,,,3-pole,Bushing,Plastic,$13.99
Airtronics/ Sanwa,94102Z*,Analog,45.08,39.12,20.07,36.07,4.8,3.02,6.0,3.82,,,,,,,4.8,300.00,6.0,375.00,,,,,,,3-pole,Bushing,Plastic,$11.99
Airtronics/ Sanwa,94112Z*,Analog,45.08,39.12,20.07,36.07,4.8,3.24,6.0,4.03,,,,,,,4.8,352.94,6.0,428.57,,,,,,,3-pole,Bushing,Plastic,-
Airtronics/ Sanwa,94141Z*,Analog,32.89,36.07,14.99,32.77,4.8,3.24,6.0,4.03,,,,,,,4.8,300.00,6.0,375.00,,,,,,,-,Single Bearing,Metal,$59.95
Airtronics/ Sanwa,94145Z*,Analog,30.90,36.07,14.99,32.77,4.8,1.87,6.0,2.30,,,,,,,4.8,666.67,6.0,857.14,,,,,,,Coreless,Single Bearing,Hybrid,$63.95
Airtronics/ Sanwa,94161Z*,Analog,66.90,39.12,19.81,40.89,4.8,8.28,6.0,10.37,,,,,,,4.8,260.87,6.0,333.33,,,,,,,3-pole,Dual Bearings,Metal,$74.95
Airtronics/ Sanwa,94162Z*,Analog,66.90,39.12,20.07,40.89,4.8,8.28,6.0,10.37,,,,,,,4.8,260.87,6.0,333.33,,,,,,,3-pole,Dual Bearings,Metal,$29.99
Airtronics/ Sanwa,94257Z*,-,51.03,39.12,20.07,35.05,4.8,7.92,,,,,,,,,4.8,1000.00,,,,,,,,,Coreless,-,Metal,$114.95
Airtronics/ Sanwa,94258Z*,-,51.03,39.12,20.07,35.05,4.8,10.44,,,,,,,,,4.8,666.67,,,,,,,,,Coreless,-,Metal,$114.95
Blue Bird,BMS-303JST*,Analog,3.40,19.05,7.37,15.49,4.8,0.79,,,,,,,,,4.8,545.45,,,,,,,,,Coreless,-,Plastic,-
Blue Bird,BMS-306*,Digital,6.52,21.84,10.16,22.10,4.8,0.86,,,,,,,,,4.8,545.45,,,,,,,,,-,Single Bearing,-,$12.65
Blue Bird,BMS-306BB*,Analog,6.52,21.84,10.16,22.10,4.8,1.08,,,,,,,,,4.8,600.00,,,,,,,,,Brushed,Single Bearing,Plastic,$13.65
Blue Bird,BMS-306MAX*,Analog,7.09,21.84,10.16,22.10,4.8,1.58,6.0,1.80,,,,,,,4.8,461.54,6.0,545.45,,,,,,,-,Single Bearing,-,$16.86
Blue Bird,BMS-308BB*,Analog,6.24,23.88,10.16,22.86,4.8,1.22,,,,,,,,,4.8,600.00,,,,,,,,,-,Single Bearing,-,$14.45
Blue Bird,BMS-371*,Analog,9.36,24.13,10.92,24.13,4.8,1.51,,,,,,,,,4.8,500.00,,,,,,,,,-,-,-,$11.84
Blue Bird,BMS-373*,Analog,9.07,24.64,11.43,23.11,4.8,1.58,,,,,,,,,4.8,500.00,,,,,,,,,-,Bushing,Plastic,$13.05
Blue Bird,BMS-373BB*,Analog,9.64,24.64,11.43,23.11,4.8,1.60,,,,,,,,,4.8,545.45,,,,,,,,,-,Single Bearing,Plastic,$13.85
Blue Bird,BMS-373MG*,Analog,11.34,24.64,11.43,23.11,4.8,1.58,6.0,2.02,,,,,,,4.8,461.54,6.0,545.45,,,,,,,-,Single Bearing,Metal,$18.87
Blue Bird,BMS-375DD*,Digital,9.64,24.64,11.43,23.11,4.8,1.58,6.0,2.02,,,,,,,4.8,545.45,,,,,,,,,-,Single Bearing,Metal,$21.99
Blue Bird,BMS-375DMG*,Digital,11.34,24.64,11.43,23.11,4.8,1.58,6.0,2.02,,,,,,,4.8,461.54,6.0,545.45,,,,,,,Brushed,Single Bearing,Metal,$19.37
Blue Bird,BMS-376DDG*,Digital,9.92,24.64,11.43,23.11,4.8,1.51,6.0,1.87,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,-,-,$29.45
Blue Bird,BMS-380*,Digital,13.89,30.48,12.70,25.40,4.8,2.50,6.0,2.95,,,,,,,4.8,461.54,6.0,545.45,,,,,,,-,Dual Bearings,Metal,$13.65
Blue Bird,BMS-380MAX,Analog,18.14,30.48,12.70,25.40,4.8,4.10,6.0,4.46,,,,,,,4.8,375.00,6.0,428.57,,,,,,,-,Single Bearing,Metal,$18.99
Blue Bird,BMS-380MG*,Analog,16.44,30.48,12.70,25.40,4.8,3.60,6.0,4.10,,,,,,,4.8,400.00,6.0,428.57,,,,,,,-,-,Metal,$19.47
Blue Bird,BMS-385DMAX*,Digital,16.73,25.40,12.70,25.40,4.8,4.10,6.0,4.46,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,Single Bearing,Metal,$34.27
Blue Bird,BMS-410*,Digital,41.96,40.64,20.32,38.10,4.8,3.30,6.0,4.32,,,,,,,4.8,240.00,6.0,272.73,,,,,,,-,-,-,$9.03
Blue Bird,BMS-555DMG*,Digital,22.96,29.97,9.91,33.78,4.8,4.10,6.0,4.46,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,-,Metal,$29.99
Blue Bird,BMS-555MG*,Analog,22.96,29.97,9.91,33.78,4.8,4.10,,,,,,,,,4.8,400.00,,,,,,,,,-,Single Bearing,Metal,-
Blue Bird,BMS-560DMG+HS*,Digital,110.00,43.69,20.07,42.93,4.8,20.81,6.0,27.36,,,,,,,4.8,375.00,6.0,461.54,,,,,,,-,-,Metal,-
Blue Bird,BMS-610MG*,-,44.79,40.64,19.81,38.61,6.0,9.51,,,,,,,,,6.0,500.00,,,,,,,,,3-pole,Dual Bearings,Metal,-
Blue Bird,BMS-611MG*,-,44.79,40.64,19.81,38.61,6.0,8.35,,,,,,,,,6.0,666.67,,,,,,,,,3-pole,Dual Bearings,Metal,-
Blue Bird,BMS-616MG+HS,Analog,45.08,40.64,20.32,38.10,6.0,9.22,,,,,,,,,6.0,500.00,,,,,,,,,3-pole,Dual Bearings,Metal,$17.11
Blue Bird,BMS-617MG+HS,Analog,45.08,40.64,20.32,38.10,6.0,7.92,,,,,,,,,6.0,666.67,,,,,,,,,-,-,Metal,$17.11
Blue Bird,BMS-620*,Analog,45.08,40.64,20.07,41.91,4.8,9.10,6.0,10.37,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,Dual Bearings,Plastic,$15.46
Multiplex,MS-12014 DIGI,Digital,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,$11.00
Multiplex,MS-12015 DIGI,Digital,9.92,23.11,11.94,27.43,4.8,3.05,6.0,3.81,,,,,,,4.8,461.54,6.0,545.45,,,,,,,Brushed,-,Plastic,$11.00
Multiplex,MS-12016 MG DIGI,Digital,,,,,6.0,2.54,,,,,,,,,6.0,600.00,,,,,,,,,Brushed,-,Metal,$21.00
Multiplex,MS-12022 MG DIGI,Digital,13.61,23.11,11.94,27.43,4.8,4.57,6.0,5.59,,,,,,,4.8,352.94,6.0,400.00,,,,,,,Brushed,-,Metal,$12.00
Multiplex,MS-8510 MG,Digital,,,,,6.0,2.54,,,,,,,,,6.0,600.00,,,,,,,,,Brushed,-,Metal,$24.56
Multiplex,MS-X2*,-,9.07,22.10,10.92,20.07,4.8,0.72,,,,,,,,,4.8,461.54,,,,,,,,,-,-,-,$29.65
Multiplex,MS-X3*,-,13.04,22.10,10.92,23.11,4.8,2.00,,,,,,,,,4.8,461.54,,,,,,,,,-,-,-,$27.75
Multiplex,MS-X4*,-,24.10,29.97,16.00,30.99,4.8,2.90,,,,,,,,,4.8,260.87,,,,,,,,,-,-,-,$25.19
Multiplex,MS-X6*,-,43.94,40.64,20.32,38.10,4.8,2.70,,,,,,,,,4.8,285.71,,,,,,,,,-,-,-,$16.98
Multiplex,Nano Pro MG,Analog,,23.62,11.68,23.88,6.0,5.08,,,,,,,,,6.0,600.00,,,,,,,,,Brushed,-,Metal,$31.00
